
2024/05/16 (05:01:06) | ===> btop++ v.1.3.2
2024/05/16 (05:01:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/16 (05:11:16) | ===> btop++ v.1.3.2
2024/05/16 (05:11:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/16 (15:10:57) | ===> btop++ v.1.3.2
2024/05/16 (15:10:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/16 (15:13:14) | ===> btop++ v.1.3.2
2024/05/16 (15:13:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/18 (07:17:16) | ===> btop++ v.1.3.2
2024/05/18 (07:17:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/19 (05:59:47) | ===> btop++ v.1.3.2
2024/05/19 (05:59:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/25 (05:31:54) | ===> btop++ v.1.3.2
2024/05/25 (05:31:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/30 (10:16:12) | ===> btop++ v.1.3.2
2024/05/30 (10:16:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/03 (19:45:08) | ===> btop++ v.1.3.2
2024/06/03 (19:45:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
